code;dimension;criterion;definition;inclusion;exclusion;evidence;source;item;rationale
C-GOV-01;Governance und Entscheidungsautonomie;Digitale Strategie;Institutionell verankerte strategische Orientierung für die selbstbestimmte Gestaltung und Steuerung digitaler Infrastrukturen, Dienste und Daten.;Textstellen zu expliziten Zielen, Leitlinien, Roadmaps oder Planungen für souveräne beziehungsweise kontrollierbare digitale Infrastrukturen und Dienste.;Einzelne technische Maßnahmen ohne strategischen Bezugsrahmen sowie operative Zuständigkeits- oder Beschlussfragen.;Das BMBF beschreibt den Aufbau einer zeitgemäßen bundesweiten Infrastruktur für digitale Bildung als übergeordnetes strategisches Ziel.;BMBF (2024), Architekturkonzept Mein Bildungsraum, Zielsetzung.;Unsere Institution verfügt über eine dokumentierte Strategie zur souveränen Gestaltung digitaler Infrastrukturen.;Die Existenz einer dokumentierten Strategie macht die strategische Verankerung als beobachtbares organisationales Merkmal bewertbar.
C-GOV-02;Governance und Entscheidungsautonomie;Verantwortlichkeiten;Formale Zuordnung von Rollen, Zuständigkeiten und Rechenschaftspflichten für digitale Souveränität und gemeinsam genutzte digitale Dienste.;Textstellen zu benannten Rollen, Verantwortungsbereichen, rechtlichen oder wirtschaftlichen Pflichten und organisatorischer Rechenschaft.;Entscheidungsverfahren ohne Rollenzuordnung sowie informelle Mitarbeit ohne festgelegte Verantwortung.;Das Gaia-X-/IDSA-Regelwerk ordnet technische Rollen wirtschaftlichen und rechtlichen Verantwortlichkeiten zu.;Gaia-X/IDSA (2023), Rulebook/Trust Framework, Abschnitte zu Rollen und Verantwortlichkeiten.;Rollen und Verantwortlichkeiten für digitale Souveränität sind eindeutig definiert.;Eindeutig definierte Rollen sind ein unmittelbar prüfbarer Indikator für institutionalisierte Verantwortungsstrukturen.
C-GOV-03;Governance und Entscheidungsautonomie;Entscheidungsprozesse;Nachvollziehbare Verfahren und Gremien für Entscheidungen über zentrale digitale Dienste, Dateninfrastrukturen und Kooperationsregeln.;Textstellen zu institutionalisierten Gremien, Beschlusswegen, Beteiligungsverfahren und dokumentierter Entscheidungsfindung.;Reine Rollendefinitionen sowie technische Automatisierung ohne Governance-Entscheidung.;Otto und Jarke beschreiben die Governance einer organisationsübergreifenden Datenplattform durch eine institutionalisierte Allianz verschiedener Stakeholder.;Otto und Jarke (2019), S. 561.;Entscheidungen über zentrale digitale Dienste erfolgen transparent und nachvollziehbar.;Transparenz und Nachvollziehbarkeit operationalisieren die formale Ausgestaltung interorganisationaler Beschlussprozesse.
C-DAT-01;Daten- und Informationssouveränität;Dateninventar;Systematische Übersicht über wesentliche Datenbestände, Datenverantwortlichkeiten und organisationsinterne beziehungsweise -übergreifende Datenflüsse.;Textstellen zu Datenkatalogen, Datenwörterbüchern, Metadatenverzeichnissen, Datenbeständen oder dokumentierten Datenflüssen.;Zugriffs- und Nutzungsregeln ohne Bestandsübersicht.;Die OECD hebt die Dokumentation administrativer Datensätze und öffentlich verfügbare Datenwörterbücher als Voraussetzung für nachvollziehbaren Datenzugang hervor.;OECD (2023), S. 227.;Unsere Institution verfügt über eine Übersicht zentraler Datenbestände und Datenflüsse.;Eine institutionelle Übersicht über Bestände und Flüsse bildet die Voraussetzung, um Daten kontrollieren und Verantwortlichkeiten zuordnen zu können.
C-DAT-02;Daten- und Informationssouveränität;Zugriffskontrolle;Organisatorische und technische Regeln, die festlegen, welche Personen oder Systeme auf sensible Daten zugreifen dürfen und wie Zugriffe nachvollzogen werden.;Textstellen zu Autorisierung, Authentifizierung, feingranularem Zugriff, Zugriffsbeschränkung und Protokollierung von Datenzugriffen.;"Regeln zum Verwendungszweck nach erfolgtem Zugriff; diese werden unter Datennutzung codiert.";Opriel et al. beschreiben abgestufte Zugriffsrechte, autorisierte Systeme und die sichtbare Protokollierung einzelner Datenanfragen.;Opriel et al. (2025), S. 839-840.;Zugriffe auf sensible Daten sind geregelt, dokumentiert und überprüfbar.;Das Item verbindet formale Zugriffsregeln mit Dokumentation und Prüfbarkeit und bildet damit sowohl Steuerung als auch Nachweisfähigkeit ab.
C-DAT-03;Daten- und Informationssouveränität;Datennutzung;Festgelegte Bedingungen für Verarbeitung, Weitergabe, Verwendungszweck, Aufbewahrung und Löschung von Daten.;Textstellen zu Usage-Control-Regeln, Nutzungsvereinbarungen, Zweckbindung, Weitergabeverboten, Aufbewahrungsfristen oder Löschpflichten.;Die vorgelagerte Berechtigung zum Datenzugriff sowie reine Bestandsdokumentation.;Von Scherenberg et al. ordnen vertraglich vereinbarte Nutzungsbedingungen und deren Durchsetzung den Kernelementen von Datensouveränität zu.;von Scherenberg et al. (2024), Tabelle 2.;Regeln zur Nutzung, Weitergabe und Verarbeitung von Daten sind definiert.;Definierte Nutzungsregeln übersetzen die abstrakte Kontrolle über den Datenlebenszyklus in ein organisationsbezogen bewertbares Merkmal.
C-TEC-01;Technologische Abhängigkeiten;Anbieterabhängigkeit;Transparenz über kritische Abhängigkeiten von Plattformen, Cloud-Angeboten, proprietären Komponenten und externen Dienstleistern.;Textstellen zu Vendor Lock-in, Machtpositionen von Dienstleistern, proprietären Abhängigkeiten oder fehlender eigener technischer Kontrolle.;"Konkrete Migrations- oder Ausstiegsmöglichkeiten; diese werden unter Exit-Fähigkeit codiert.";Opriel et al. begründen selbstadministrierte, dezentrale Lösungen unter anderem mit der Vermeidung ungewollter Abhängigkeiten und Machtpositionen externer Dienstleister.;Opriel et al. (2025), S. 839 und 846-847.;Kritische Abhängigkeiten von externen Plattformen oder Dienstleistern sind bekannt.;Eine belastbare Steuerung technologischer Abhängigkeiten setzt zunächst deren systematische Kenntnis voraus.
C-TEC-02;Technologische Abhängigkeiten;Exit-Fähigkeit;Fähigkeit, zentrale digitale Dienste, Daten und Prozesse innerhalb vertretbarer Fristen und Aufwände zu alternativen Lösungen zu migrieren oder zurückzuführen.;Textstellen zu Migration, Portabilität, Rückfalloptionen, Substitution und kontrolliertem Anbieterwechsel.;Allgemeine Kenntnis einer Abhängigkeit ohne konkreten Ausstiegs- oder Migrationspfad.;Von Scherenberg et al. beziehen die Freiheit, Daten bei Bedarf zu migrieren, ausdrücklich in ihr Verständnis von Datensouveränität ein.;von Scherenberg et al. (2024), Tabelle 1.;Für zentrale digitale Dienste bestehen Exit-Strategien oder Alternativen.;Dokumentierte Exit-Strategien oder Alternativen bilden die organisationale Fähigkeit ab, eine Abhängigkeit tatsächlich zu beenden oder zu reduzieren.
C-TEC-03;Technologische Abhängigkeiten;Vertragsgestaltung;Vertragliche Absicherung von Datenkontrolle, Portabilität, Rückgabe, Löschung, Auditierbarkeit und Beendigung bei extern bezogenen digitalen Diensten.;Textstellen zu Vertragsklauseln, Datenrückgabe, Portabilität, Löschpflichten, Nutzungsbeschränkungen und Anbieterwechsel.;Allgemeine Datenschutzregelungen ohne Bezug zu Dienstleisterverträgen oder Portabilität.;Die OECD beschreibt Vereinbarungen, die kommerzielle Weiterverwendung beschränken und eine einfache Rückgewinnung von Daten ermöglichen.;OECD (2023), S. 224.;Verträge mit Dienstleistern berücksichtigen Anforderungen an Datenkontrolle und Portabilität.;Das Item fokussiert die zwei für einen souveränen Anbieterwechsel zentralen Vertragsziele: fortbestehende Datenkontrolle und technische beziehungsweise rechtliche Portabilität.
C-INT-01;Interoperabilität und Föderationsfähigkeit;Offene Standards;Nutzung dokumentierter, zugänglicher und möglichst herstellerneutraler Standards für Datenformate, Semantik und Diensteintegration.;Textstellen zu offenen Standards, standardisierten Datenformaten, gemeinsamen Semantiken oder herstellerneutraler Anschlussfähigkeit.;Konkrete technische Endpunkte oder APIs ohne Aussage zum zugrunde liegenden Standard.;Das Architekturkonzept von Mein Bildungsraum verbindet souveräne Bildungsdateninfrastrukturen mit europäischer Anschlussfähigkeit und offenen Standards.;BMBF (2024), Architekturkonzept Mein Bildungsraum.;Für den Austausch von Daten und Diensten werden offene Standards genutzt.;Die tatsächliche Nutzung offener Standards ist als institutionelle Praxis bewertbar und reduziert proprietäre Integrationsbarrieren.
